Year,Champion,Runner-Up,Finals MVP,Points,Rebounds,Assists,Win Shares
1991,Chicago Bulls,Los Angeles Lakers,M. Jordan,M. Jordan (529),D. Rodman (177),M. Johnson (240),M. Jordan (4.8)
1990,Detroit Pistons,Portland Trail Blazers,I. Thomas,M. Jordan (587),B. Laimbeer (211),K. Johnson (170),M. Jordan (4.0)
1989,Detroit Pistons,Los Angeles Lakers,J. Dumars,M. Jordan (591),D. Rodman (170),M. Johnson (165),M. Jordan (4.0)
1988,Los Angeles Lakers,Detroit Pistons,J. Worthy,J. Worthy (506),B. Laimbeer (221),M. Johnson (303),M. Johnson (4.0)
1987,Los Angeles Lakers,Boston Celtics,M. Johnson,L. Bird (622),L. Bird (231),M. Johnson (219),M. Johnson (3.7)
1986,Boston Celtics,Houston Rockets,L. Bird,H. Olajuwon (537),H. Olajuwon (236),M. Johnson (211),L. Bird (4.2)
1985,Los Angeles Lakers,Boston Celtics,K. Abdul-Jabbar,L. Bird (520),R. Parish (219),M. Johnson (289),M. Johnson (3.0)
1984,Boston Celtics,Los Angeles Lakers,L. Bird,L. Bird (632),L. Bird (252),M. Johnson (284),L. Bird (4.7)
1983,Philadelphia 76ers,Los Angeles Lakers,M. Malone,K. Abdul-Jabbar (406),M. Malone (206),M. Johnson (192),M. Malone (2.8)
1982,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,J. Erving (461),C. Jones (189),M. Cheeks (172),J. Erving (3.0)
1981,Boston Celtics,Houston Rockets,C. Maxwell,M. Malone (562),M. Malone (305),M. Cheeks (116),M. Malone (3.5)
1980,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,K. Abdul-Jabbar (479),C. Jones (185),M. Johnson (151),K. Abdul-Jabbar (3.3)
1979,Seattle SuperSonics,Washington Bullets,D. Johnson,G. Williams (454),E. Hayes (266),T. Henderson (107),G. Williams (2.7)
1978,Washington Bullets,Seattle SuperSonics,W. Unseld,E. Hayes (457),M. Webster (289),T. Henderson (106),E. Hayes (3.1)
1977,Portland Trail Blazers,Philadelphia 76ers,B. Walton,J. Erving (518),B. Walton (288),B. Walton (104),J. Erving (3.4)
1976,Boston Celtics,Phoenix Suns,J. White,J. White (408),D. Cowens (296),A. Adams (98),D. Cowens (2.7)
1976,New York Nets,Denver Nuggets,,J. Erving (451),J. Erving (164),L. Dampier (77),J. Erving (3.7)
1975,Golden State Warriors,Washington Bullets,R. Barry,R. Barry (479),W. Unseld (276),K. Porter (124),R. Barry (3.1)
1975,Kentucky Colonels,Indiana Pacers,,G. McGinnis (581),G. McGinnis (286),G. McGinnis (148),A. Gilmore (3.0)
1974,Boston Celtics,Milwaukee Bucks,J. Havlicek,K. Abdul-Jabbar (515),K. Abdul-Jabbar (253),O. Robertson (149),K. Abdul-Jabbar (4.7)
1974,New York Nets,Utah Stars,,W. Wise (420),G. Govan (246),R. Boone (109),J. Erving (3.0)
1973,New York Knicks,Los Angeles Lakers,W. Reed,J. West (401),W. Chamberlain (383),J. West (132),W. Frazier (3.0)
1973,Indiana Pacers,Kentucky Colonels,,D. Issel (521),A. Gilmore (260),F. Lewis (91),D. Issel (3.6)
1972,Los Angeles Lakers,New York Knicks,W. Chamberlain,W. Frazier (388),W. Chamberlain (315),J. West (134),W. Frazier (3.3)
1972,Indiana Pacers,New York Nets,,R. Barry (554),M. Daniels (302),F. Lewis (87),J. Erving (2.8)
1971,Milwaukee Bucks,Baltimore Bullets,K. Abdul-Jabbar,E. Monroe (397),W. Unseld (339),O. Robertson (124),K. Abdul-Jabbar (3.3)
1971,Utah Stars,Kentucky Colonels,,D. Issel (534),Z. Beaty (263),L. Dampier (179),D. Issel (3.3)
1970,New York Knicks,Los Angeles Lakers,W. Reed,J. West (562),W. Chamberlain (399),W. Frazier (156),J. West (3.2)
1970,Indiana Pacers,Los Angeles Stars,,S. Haywood (440),M. Daniels (265),M. Calvin (101),R. Brown (3.5)
1969,Boston Celtics,Los Angeles Lakers,J. West,J. West (556),W. Chamberlain (444),J. West (135),J. West (4.3)
1969,Oakland Oaks,Indiana Pacers,,W. Jabali (460),M. Daniels (237),L. Brown (87),R. Brown (3.4)
1968,Boston Celtics,Los Angeles Lakers,,J. Havlicek (493),B. Russell (434),J. Havlicek (142),J. West (3.6)
1968,Pittsburgh Pipers,New Orleans Buccaneers,,C. Hawkins (419),T. Washington (261),L. Brown (129),C. Hawkins (4.0)
1967,Philadelphia 76ers,San Francisco Warriors,,R. Barry (521),W. Chamberlain (437),W. Chamberlain (135),W. Chamberlain (3.8)
1966,Boston Celtics,Los Angeles Lakers,,J. West (479),B. Russell (428),B. Russell (85),B. Russell (3.2)
1965,Boston Celtics,Los Angeles Lakers,,J. West (447),B. Russell (302),B. Russell (76),B. Russell (3.3)
1964,Boston Celtics,San Francisco Warriors,,W. Chamberlain (416),W. Chamberlain (302),G. Rodgers (90),W. Chamberlain (3.8)
1963,Boston Celtics,Los Angeles Lakers,,E. Baylor (424),B. Russell (326),B. Cousy (116),B. Russell (2.5)
1962,Boston Celtics,Los Angeles Lakers,,E. Baylor (502),B. Russell (370),B. Cousy (123),B. Russell (3.6)
1961,Boston Celtics,St. Louis Hawks,,E. Baylor (457),B. Russell (299),B. Cousy (91),E. Baylor (2.8)
1960,Boston Celtics,St. Louis Hawks,,B. Pettit (365),B. Russell (336),B. Cousy (116),B. Russell (3.0)
1959,Boston Celtics,Minneapolis Lakers,,E. Baylor (331),B. Russell (305),B. Cousy (119),F. Ramsey (2.0)
1958,St. Louis Hawks,Boston Celtics,,C. Hagan (305),B. Russell (221),B. Cousy (82),C. Hagan (2.7)
1957,Boston Celtics,St. Louis Hawks,,B. Pettit (298),B. Russell (244),B. Cousy (93),B. Pettit (1.7)
1956,Philadelphia Warriors,Fort Wayne Pistons,,P. Arizin (289),N. Johnston (143),G. King (60),P. Arizin (2.2)
1955,Syracuse Nationals,Fort Wayne Pistons,,D. Schayes (209),D. Schayes (141),A. Phillip (78),D. Schayes (1.8)
1954,Minneapolis Lakers,Syracuse Nationals,,G. Mikan (252),G. Mikan (171),S. Martin (60),G. Mikan (3.5)
1953,Minneapolis Lakers,New York Knicks,,G. Mikan (238),G. Mikan (185),D. McGuire (70),G. Mikan (2.0)
1952,Minneapolis Lakers,New York Knicks,,G. Mikan (307),G. Mikan (207),D. McGuire (90),G. Mikan (2.4)
1951,Rochester Royals,New York Knicks,,A. Risen (273),A. Risen (196),D. McGuire (78),B. Wanzer (2.7)
1950,Minneapolis Lakers,Syracuse Nationals,,G. Mikan (376),,J. Pollard (56),G. Mikan (3.7)
1949,Minneapolis Lakers,Washington Capitols,,G. Mikan (303),,J. Pollard (39),G. Mikan (4.2)
1948,Baltimore Bullets,Philadelphia Warriors,,J. Fulks (282),,H. Dallmar (37),C. Simmons (2.5)
1947,Philadelphia Warriors,Chicago Stags,,J. Fulks (222),,H. Dallmar (16),J. Fulks (2.3)
